iteration,lasso_loss,ridge_loss,standard_loss
2.140000000000000000e+02,5.658777720121900279e-01,5.992828438468943419e-01,5.992369825683846463e-01
2.150000000000000000e+02,5.658777720121898058e-01,5.991377569147675608e-01,5.990917669848121463e-01
2.160000000000000000e+02,5.658777720121899169e-01,5.989933830411630078e-01,5.989472645903224368e-01
2.170000000000000000e+02,5.658777720121899169e-01,5.988497171670676966e-01,5.988034703213048759e-01
2.180000000000000000e+02,5.658777720121899169e-01,5.987067542994849445e-01,5.986603791802619368e-01
2.190000000000000000e+02,5.658777720121899169e-01,5.985644895100249441e-01,5.985179862343971147e-01
2.200000000000000000e+02,5.658777720121899169e-01,5.984229179335317506e-01,5.983762866142416925e-01
2.210000000000000000e+02,5.658777720121899169e-01,5.982820347667469063e-01,5.982352755123155896e-01
2.220000000000000000e+02,5.658777720121899169e-01,5.981418352670081484e-01,5.980949481818246261e-01
2.230000000000000000e+02,5.658777720121899169e-01,5.980023147509827552e-01,5.979552999353926479e-01
2.240000000000000000e+02,5.658777720121899169e-01,5.978634685934319792e-01,5.978163261438241838e-01
2.250000000000000000e+02,5.658777720121899169e-01,5.977252922260116730e-01,5.976780222349029614e-01
2.260000000000000000e+02,5.658777720121899169e-01,5.975877811360997827e-01,5.975403836922184020e-01
2.270000000000000000e+02,5.658777720121899169e-01,5.974509308656564821e-01,5.974034060540244218e-01
2.280000000000000000e+02,5.658777720121899169e-01,5.973147370101145048e-01,5.972670849121276548e-01
2.290000000000000000e+02,5.658777720121899169e-01,5.971791952172958995e-01,5.971314159108029873e-01
2.300000000000000000e+02,5.658777720121899169e-01,5.970443011863583171e-01,5.969963947457387343e-01
2.310000000000000000e+02,5.658777720121899169e-01,5.969100506667680550e-01,5.968620171630077964e-01
2.320000000000000000e+02,5.658777720121899169e-01,5.967764394572986353e-01,5.967282789580649061e-01
2.330000000000000000e+02,5.658777720121899169e-01,5.966434634050558072e-01,5.965951759747705196e-01
2.340000000000000000e+02,5.658777720121899169e-01,5.965111184045270853e-01,5.964627041044385791e-01
2.350000000000000000e+02,5.658777720121899169e-01,5.963794003966548241e-01,5.963308592849084766e-01
2.360000000000000000e+02,5.658777720121899169e-01,5.962483053679331624e-01,5.961996374996413328e-01
2.370000000000000000e+02,5.658777720121899169e-01,5.961178293495286162e-01,5.960690347768374808e-01
2.380000000000000000e+02,5.658777720121899169e-01,5.959879684164205438e-01,5.959390471885779306e-01
2.390000000000000000e+02,5.658777720121899169e-01,5.958587186865657026e-01,5.958096708499860394e-01
2.400000000000000000e+02,5.658777720121899169e-01,5.957300763200817917e-01,5.956809019184102771e-01
2.410000000000000000e+02,5.658777720121899169e-01,5.956020375184518656e-01,5.955527365926281957e-01
2.420000000000000000e+02,5.658777720121899169e-01,5.954745985237496209e-01,5.954251711120689405e-01
2.430000000000000000e+02,5.658777720121899169e-01,5.953477556178817798e-01,5.952982017560560779e-01
2.440000000000000000e+02,5.658777720121899169e-01,5.952215051218510133e-01,5.951718248430682978e-01
2.450000000000000000e+02,5.658777720121899169e-01,5.950958433950360726e-01,5.950460367300187681e-01
2.460000000000000000e+02,5.658777720121899169e-01,5.949707668344896838e-01,5.949208338115522521e-01
2.470000000000000000e+02,5.658777720121899169e-01,5.948462718742540956e-01,5.947962125193586580e-01
2.480000000000000000e+02,5.658777720121899169e-01,5.947223549846920587e-01,5.946721693215045734e-01
2.490000000000000000e+02,5.658777720121899169e-01,5.945990126718362356e-01,5.945487007217798991e-01
2.500000000000000000e+02,5.658777720121899169e-01,5.944762414767525982e-01,5.944258032590602481e-01
2.510000000000000000e+02,5.658777720121899169e-01,5.943540379749187030e-01,5.943034735066863306e-01
2.520000000000000000e+02,5.658777720121899169e-01,5.942323987756195081e-01,5.941817080718562183e-01
2.530000000000000000e+02,5.658777720121899169e-01,5.941113205213550685e-01,5.940605035950338175e-01
2.540000000000000000e+02,5.658777720121899169e-01,5.939907998872641093e-01,5.939398567493699987e-01
2.550000000000000000e+02,5.658777720121899169e-01,5.938708335805599203e-01,5.938197642401391585e-01
2.560000000000000000e+02,5.658777720121899169e-01,5.937514183399810186e-01,5.937002228041877716e-01
2.570000000000000000e+02,5.658777720121899169e-01,5.936325509352543550e-01,5.935812292093967102e-01
2.580000000000000000e+02,5.658777720121899169e-01,5.935142281665702901e-01,5.934627802541564412e-01
2.590000000000000000e+02,5.658777720121899169e-01,5.933964468640712253e-01,5.933448727668535483e-01
2.600000000000000000e+02,5.658777720121899169e-01,5.932792038873521134e-01,5.932275036053705763e-01
2.610000000000000000e+02,5.658777720121899169e-01,5.931624961249712946e-01,5.931106696565965342e-01
2.620000000000000000e+02,5.658777720121899169e-01,5.930463204939740995e-01,5.929943678359493875e-01
2.630000000000000000e+02,5.658777720121899169e-01,5.929306739394273329e-01,5.928785950869097654e-01
2.640000000000000000e+02,5.658777720121899169e-01,5.928155534339638599e-01,5.927633483805645476e-01
2.650000000000000000e+02,5.658777720121899169e-01,5.927009559773382952e-01,5.926486247151619979e-01
2.660000000000000000e+02,5.658777720121899169e-01,5.925868785959923501e-01,5.925344211156763352e-01
2.670000000000000000e+02,5.658777720121899169e-01,5.924733183426315053e-01,5.924207346333828506e-01
2.680000000000000000e+02,5.658777720121899169e-01,5.923602722958086764e-01,5.923075623454424621e-01
